time_period,location,disease_cases
2022-07,BITtrV4c0xf,1
2022-07,BdLcDbLQd88,0
2022-07,BywOwm8jUhf,0
2022-07,CNFRaFUfLjo,2
2022-07,D51gR5DC5vt,6
2022-07,DLyaDAF00hm,0
2022-07,EXKX4gJ9D6Y,1
2022-07,F5xI4hl77mT,109
2022-07,Fh294RrB7an,1
2022-07,GnpIwWbdxdl,1
2022-07,HL5fSUsp2vJ,1
2022-07,HfIRB3HRHvk,6
2022-07,HkwA8YQgJK6,1
2022-07,ICSVN3EZGcy,3
2022-07,IOHIfpVUJGp,0
2022-07,Iqy9A4jXY9l,1
2022-07,JBTkOU5m0Bu,0
2022-07,JH8RPnwv8kB,99
2022-07,LnJ8MTOmgGa,0
2022-07,N7ioObCpMP3,6
2022-07,NSLL7YIXBJH,3
2022-07,O5p5idrXdiw,2
2022-07,P53hVYydxdc,0
2022-07,PUPCyKcUwlS,0
2022-07,PdRpVxkVd9a,2
2022-07,QfZ2pVPRFmz,24
2022-07,QzI3Btz60Ne,2
2022-07,RSAZqrdfXy5,3
2022-07,RZxElQxEbZN,0
2022-07,S8J6p6tGXNb,0
2022-07,SJQ2e9HUvaG,0
2022-07,U8Rk7sYzFmK,0
2022-07,VoOb1wMwKp0,1
2022-07,Wep3D4POB3H,0
2022-07,WfE2smSUNDt,17
2022-07,Yacp1fLlWut,0
2022-07,YmFSl06J6cs,0
2022-07,YnUoe8z0OJY,2
2022-07,ZIo35uAAfZo,8
2022-07,ZULmwVN4Zfv,0
2022-07,ZVmULoI6vcV,5
2022-07,bWmwn3sMsG0,12
2022-07,bX87SmYR3TJ,0
2022-07,bjS2Lp3tLxv,5
2022-07,cMWLZfK0O4z,13
2022-07,eW2b8SUYRWt,0
2022-07,ebbAyOhorzo,16
2022-07,elOK8Y2b3Qn,35
2022-07,ewPc6zXy53n,0
2022-07,gannbFbizVo,4
2022-07,grMJpaDdSrD,0
2022-07,hasbXH0dTqM,7
2022-07,i6gMyoP9ReK,2
2022-07,iqLM1XBMxyu,3
2022-07,j0gE31YxwHQ,0
2022-07,j4HVtKmVtwQ,0
2022-07,jJmNryYp6Mc,0
2022-07,kBRVmS9IKRE,0
2022-07,kfrKchZfqGr,2
2022-07,l8tZrJ55yzg,2
2022-07,mMGyx6JG7wj,27
2022-07,q7VB2VrUr83,1
2022-07,qoayxucpZqH,0
2022-07,rsZaqJl5R0A,221
2022-07,t9XsLKdMwA1,3
2022-07,tSE6ctwvZmP,0
2022-07,uHEl9oRZm8L,30
2022-07,uyGkoQ4F9rT,1
2022-07,vjL1uSC10Jh,1
2022-07,wYKHZ0iyjfd,4
2022-07,xGQwwqLQ819,0
2022-07,yP2GELa6inf,6
2022-07,ycBkX3TlIrL,1
2022-07,zkFZKX5RX1A,2
2022-08,A3R7UT64jHf,5
2022-08,A3TeVhjjS2u,12
2022-08,B7X957nA1lM,4
2022-08,BITtrV4c0xf,3
2022-08,BdLcDbLQd88,0
2022-08,BywOwm8jUhf,10
2022-08,CNFRaFUfLjo,5
2022-08,D51gR5DC5vt,6
2022-08,DLyaDAF00hm,5
2022-08,EXKX4gJ9D6Y,19
2022-08,F5xI4hl77mT,315
2022-08,Fh294RrB7an,3
2022-08,GnpIwWbdxdl,1
2022-08,HL5fSUsp2vJ,0
2022-08,HfIRB3HRHvk,86
2022-08,HkwA8YQgJK6,1
2022-08,ICSVN3EZGcy,3
2022-08,IOHIfpVUJGp,10
2022-08,Iqy9A4jXY9l,5
2022-08,JBTkOU5m0Bu,4
2022-08,JH8RPnwv8kB,1558
2022-08,LnJ8MTOmgGa,2
2022-08,N7ioObCpMP3,6
2022-08,NSLL7YIXBJH,4
2022-08,O5p5idrXdiw,3
2022-08,P53hVYydxdc,0
2022-08,PUPCyKcUwlS,3
2022-08,PdRpVxkVd9a,6
2022-08,QfZ2pVPRFmz,54
2022-08,QzI3Btz60Ne,12
2022-08,RSAZqrdfXy5,13
2022-08,RZxElQxEbZN,1
2022-08,S8J6p6tGXNb,88
2022-08,SJQ2e9HUvaG,0
2022-08,U8Rk7sYzFmK,7
2022-08,VoOb1wMwKp0,2
2022-08,Wep3D4POB3H,2
2022-08,WfE2smSUNDt,33
2022-08,Yacp1fLlWut,1
2022-08,YmFSl06J6cs,2
2022-08,YnUoe8z0OJY,9
2022-08,ZIo35uAAfZo,6
2022-08,ZULmwVN4Zfv,1
2022-08,ZVmULoI6vcV,29
2022-08,bWmwn3sMsG0,26
2022-08,bX87SmYR3TJ,5
2022-08,bjS2Lp3tLxv,19
2022-08,cMWLZfK0O4z,36
2022-08,eW2b8SUYRWt,4
2022-08,ebbAyOhorzo,23
2022-08,elOK8Y2b3Qn,727
2022-08,ewPc6zXy53n,0
2022-08,gannbFbizVo,17
2022-08,grMJpaDdSrD,3
2022-08,hasbXH0dTqM,3
2022-08,i6gMyoP9ReK,4
2022-08,iqLM1XBMxyu,6
2022-08,j0gE31YxwHQ,0
2022-08,j4HVtKmVtwQ,9
2022-08,jJmNryYp6Mc,1
2022-08,kBRVmS9IKRE,1
2022-08,kfrKchZfqGr,1
2022-08,l8tZrJ55yzg,12
2022-08,mMGyx6JG7wj,38
2022-08,q7VB2VrUr83,1
2022-08,qoayxucpZqH,0
2022-08,rsZaqJl5R0A,337
2022-08,t9XsLKdMwA1,14
2022-08,tSE6ctwvZmP,0
2022-08,uHEl9oRZm8L,15
2022-08,uyGkoQ4F9rT,5
2022-08,vjL1uSC10Jh,5
2022-08,wYKHZ0iyjfd,6
2022-08,xGQwwqLQ819,2
2022-08,yP2GELa6inf,21
2022-08,ycBkX3TlIrL,1
2022-08,zkFZKX5RX1A,3
2022-09,A3R7UT64jHf,70
2022-09,A3TeVhjjS2u,70
2022-09,B7X957nA1lM,27
2022-09,BITtrV4c0xf,25
2022-09,BdLcDbLQd88,6
2022-09,BywOwm8jUhf,270
2022-09,CNFRaFUfLjo,68
2022-09,D51gR5DC5vt,10
2022-09,DLyaDAF00hm,36
2022-09,EXKX4gJ9D6Y,63
2022-09,F5xI4hl77mT,374
2022-09,Fh294RrB7an,68
2022-09,GnpIwWbdxdl,21
2022-09,HL5fSUsp2vJ,26
2022-09,HfIRB3HRHvk,1151
2022-09,HkwA8YQgJK6,72
2022-09,ICSVN3EZGcy,77
2022-09,IOHIfpVUJGp,56
2022-09,Iqy9A4jXY9l,80
2022-09,JBTkOU5m0Bu,17
2022-09,JH8RPnwv8kB,6016
2022-09,LnJ8MTOmgGa,75
2022-09,N7ioObCpMP3,25
2022-09,NSLL7YIXBJH,34
2022-09,O5p5idrXdiw,65
2022-09,P53hVYydxdc,11
2022-09,PUPCyKcUwlS,24
2022-09,PdRpVxkVd9a,49
2022-09,QfZ2pVPRFmz,483
2022-09,QzI3Btz60Ne,113
2022-09,RSAZqrdfXy5,395
2022-09,RZxElQxEbZN,1
2022-09,S8J6p6tGXNb,50
2022-09,SJQ2e9HUvaG,20
2022-09,U8Rk7sYzFmK,89
2022-09,VoOb1wMwKp0,29
2022-09,Wep3D4POB3H,14
2022-09,WfE2smSUNDt,244
2022-09,Yacp1fLlWut,5
2022-09,YmFSl06J6cs,15
2022-09,YnUoe8z0OJY,81
2022-09,ZIo35uAAfZo,44
2022-09,ZULmwVN4Zfv,23
2022-09,ZVmULoI6vcV,177
2022-09,bWmwn3sMsG0,82
2022-09,bX87SmYR3TJ,17
2022-09,bjS2Lp3tLxv,1702
2022-09,cMWLZfK0O4z,87
2022-09,eW2b8SUYRWt,54
2022-09,ebbAyOhorzo,33
2022-09,elOK8Y2b3Qn,9891
2022-09,ewPc6zXy53n,2
2022-09,gannbFbizVo,93
2022-09,grMJpaDdSrD,53
2022-09,hasbXH0dTqM,29
2022-09,i6gMyoP9ReK,114
2022-09,iqLM1XBMxyu,84
2022-09,j0gE31YxwHQ,0
2022-09,j4HVtKmVtwQ,87
2022-09,jJmNryYp6Mc,7
2022-09,kBRVmS9IKRE,451
2022-09,kfrKchZfqGr,86
2022-09,l8tZrJ55yzg,64
2022-09,mMGyx6JG7wj,46
2022-09,q7VB2VrUr83,43
2022-09,qoayxucpZqH,2
2022-09,rsZaqJl5R0A,2452
2022-09,t9XsLKdMwA1,121
2022-09,tSE6ctwvZmP,6
2022-09,uHEl9oRZm8L,64
2022-09,uyGkoQ4F9rT,23
2022-09,vjL1uSC10Jh,11
2022-09,wYKHZ0iyjfd,68
2022-09,xGQwwqLQ819,12
2022-09,yP2GELa6inf,53
2022-09,ycBkX3TlIrL,13
2022-09,zkFZKX5RX1A,15
2022-10,A3R7UT64jHf,45
2022-10,A3TeVhjjS2u,57
2022-10,B7X957nA1lM,15
2022-10,BITtrV4c0xf,14
2022-10,BdLcDbLQd88,10
2022-10,BywOwm8jUhf,44
2022-10,CNFRaFUfLjo,125
2022-10,D51gR5DC5vt,4
2022-10,DLyaDAF00hm,0
2022-10,EXKX4gJ9D6Y,37
2022-10,F5xI4hl77mT,370
2022-10,Fh294RrB7an,94
2022-10,GnpIwWbdxdl,12
2022-10,HL5fSUsp2vJ,4
2022-10,HfIRB3HRHvk,4204
2022-10,HkwA8YQgJK6,8
2022-10,ICSVN3EZGcy,150
2022-10,IOHIfpVUJGp,32
2022-10,Iqy9A4jXY9l,105
2022-10,JBTkOU5m0Bu,7
2022-10,JH8RPnwv8kB,1809
2022-10,LnJ8MTOmgGa,192
2022-10,N7ioObCpMP3,6
2022-10,NSLL7YIXBJH,22
2022-10,O5p5idrXdiw,54
2022-10,P53hVYydxdc,1
2022-10,PUPCyKcUwlS,9
